applicant_id,probability_of_default,risk_band,recommended_decision,actual_default
142021,0.2079527336873346,Medium Risk,Manual Review,0
162581,0.425982603299773,High Risk,Decline,0
370308,0.5047634141463452,High Risk,Decline,0
387469,0.524585232010213,High Risk,Decline,0
163805,0.4338417259395416,High Risk,Decline,0
136502,0.3560579501322865,High Risk,Decline,0
405868,0.1328448267729506,Medium Risk,Manual Review,0
264828,0.2582499598928772,Medium Risk,Manual Review,0
131066,0.1133429554122711,Medium Risk,Manual Review,0
242214,0.114434350464937,Medium Risk,Manual Review,0
171577,0.7960747086567761,High Risk,Decline,0
451461,0.139159773148813,Medium Risk,Manual Review,0
269580,0.3420970462740503,High Risk,Decline,0
217571,0.4037607277526744,High Risk,Decline,1
308497,0.5635500216992113,High Risk,Decline,0
183838,0.174756710585286,Medium Risk,Manual Review,0
331021,0.4465728232992729,High Risk,Decline,0
200264,0.2356807867611418,Medium Risk,Manual Review,0
396044,0.1384972338789113,Medium Risk,Manual Review,0
438161,0.7046380216593915,High Risk,Decline,0
368675,0.5112299137573676,High Risk,Decline,0
200635,0.0988668544273421,Low Risk,Approve,0
214259,0.0402975376274548,Low Risk,Approve,0
397839,0.586130492846627,High Risk,Decline,0
359635,0.2829729743449697,Medium Risk,Manual Review,0
115543,0.3001914506537514,High Risk,Decline,0
401776,0.121599746156993,Medium Risk,Manual Review,0
421559,0.3056582402224839,High Risk,Decline,1
102801,0.1090881879884467,Medium Risk,Manual Review,0
199942,0.1563573881974391,Medium Risk,Manual Review,0
390614,0.4143532564743573,High Risk,Decline,0
171842,0.1662498315813368,Medium Risk,Manual Review,0
180022,0.1656112475243824,Medium Risk,Manual Review,0
439138,0.2792738230418922,Medium Risk,Manual Review,0
430363,0.1085298381588518,Medium Risk,Manual Review,0
374895,0.2399912070859982,Medium Risk,Manual Review,0
369060,0.2725904794564577,Medium Risk,Manual Review,0
438625,0.6303698830342899,High Risk,Decline,0
243479,0.7863096582911177,High Risk,Decline,1
214726,0.2320118574675071,Medium Risk,Manual Review,0
214133,0.5360700977871047,High Risk,Decline,0
304302,0.8413586341213728,High Risk,Decline,0
355331,0.1987273884743764,Medium Risk,Manual Review,0
187323,0.22418182411167,Medium Risk,Manual Review,0
409151,0.0986696259661966,Low Risk,Approve,0
113070,0.116699388499865,Medium Risk,Manual Review,0
232944,0.5281371748499353,High Risk,Decline,0
243200,0.3585691491328672,High Risk,Decline,0
275909,0.4818211365156649,High Risk,Decline,0
357979,0.675104711749343,High Risk,Decline,0
455460,0.1240509921409238,Medium Risk,Manual Review,0
399318,0.0680917999101398,Low Risk,Approve,0
221044,0.7808278863416823,High Risk,Decline,0
117890,0.6184638357608511,High Risk,Decline,0
203688,0.1666172590067074,Medium Risk,Manual Review,0
362048,0.2405444717854626,Medium Risk,Manual Review,0
241000,0.1801455293086636,Medium Risk,Manual Review,0
189840,0.2066378289195565,Medium Risk,Manual Review,0
107776,0.7814297884261325,High Risk,Decline,0
429068,0.6334824464311308,High Risk,Decline,0
220962,0.8409370187350397,High Risk,Decline,0
404631,0.120756676881077,Medium Risk,Manual Review,0
118802,0.2111305420137889,Medium Risk,Manual Review,0
400386,0.5110296565865436,High Risk,Decline,0
260131,0.2732029384138125,Medium Risk,Manual Review,0
388419,0.2871956207261462,Medium Risk,Manual Review,0
380403,0.6265125597487072,High Risk,Decline,0
247192,0.4337010334346575,High Risk,Decline,0
197602,0.1460908895228087,Medium Risk,Manual Review,0
229824,0.2165171836697062,Medium Risk,Manual Review,0
257503,0.3104599960657151,High Risk,Decline,0
219505,0.6192066768233323,High Risk,Decline,0
274533,0.1922947199872283,Medium Risk,Manual Review,0
260922,0.7197724888311219,High Risk,Decline,0
114659,0.455820488888827,High Risk,Decline,0
430050,0.0855255750411695,Low Risk,Approve,1
285344,0.6643160288948468,High Risk,Decline,0
380379,0.2915579774564525,Medium Risk,Manual Review,0
133959,0.5127788122365035,High Risk,Decline,1
229833,0.5025042450118336,High Risk,Decline,0
411221,0.2422588509179981,Medium Risk,Manual Review,0
201779,0.1612007988493062,Medium Risk,Manual Review,0
215672,0.4117690183227935,High Risk,Decline,0
266001,0.5095295519662858,High Risk,Decline,0
191623,0.5470630372767962,High Risk,Decline,1
407642,0.690449182102976,High Risk,Decline,0
371675,0.0979338331410177,Low Risk,Approve,0
420025,0.8306540855030997,High Risk,Decline,0
230913,0.2442354391464631,Medium Risk,Manual Review,0
314715,0.9315835168578724,High Risk,Decline,1
199987,0.1912318573838095,Medium Risk,Manual Review,0
244509,0.7181152453229834,High Risk,Decline,0
117866,0.0675193063045069,Low Risk,Approve,0
138624,0.158031594356933,Medium Risk,Manual Review,0
105076,0.0369709866115712,Low Risk,Approve,0
151505,0.7200901661830781,High Risk,Decline,0
313271,0.6919551992582982,High Risk,Decline,0
160219,0.3286489300000112,High Risk,Decline,0
104124,0.3198512214237329,High Risk,Decline,0
420164,0.0655499280078962,Low Risk,Approve,0
407222,0.1459383774885,Medium Risk,Manual Review,0
362359,0.1111183262776206,Medium Risk,Manual Review,0
351236,0.3408316941815557,High Risk,Decline,0
157421,0.2299003665325134,Medium Risk,Manual Review,0
429886,0.081012072020147,Low Risk,Approve,0
327848,0.2895341494535698,Medium Risk,Manual Review,0
307190,0.5981482256648442,High Risk,Decline,0
372652,0.050464832166949,Low Risk,Approve,0
174034,0.1705528763306513,Medium Risk,Manual Review,0
156767,0.3193386005544845,High Risk,Decline,0
235857,0.3562489999328632,High Risk,Decline,0
341995,0.2725556250192157,Medium Risk,Manual Review,0
227454,0.1616537762343532,Medium Risk,Manual Review,0
407564,0.265349698187062,Medium Risk,Manual Review,0
261790,0.3024974586943824,High Risk,Decline,0
208710,0.6758261554226536,High Risk,Decline,0
168953,0.3303538639149178,High Risk,Decline,0
169657,0.6068302297106042,High Risk,Decline,0
326216,0.6893809331461694,High Risk,Decline,0
194615,0.1401155770135086,Medium Risk,Manual Review,0
453617,0.1542872759197474,Medium Risk,Manual Review,0
356878,0.1714186733589577,Medium Risk,Manual Review,0
222416,0.3619907820903832,High Risk,Decline,0
262596,0.1072138906194239,Medium Risk,Manual Review,0
241659,0.1004284193914417,Medium Risk,Manual Review,0
290452,0.5540475792171426,High Risk,Decline,0
405561,0.7185588595427472,High Risk,Decline,1
228156,0.1918968492833063,Medium Risk,Manual Review,0
199193,0.1209507044442953,Medium Risk,Manual Review,0
187055,0.3240690134502118,High Risk,Decline,0
147687,0.2459164174535924,Medium Risk,Manual Review,0
450406,0.8451207064471198,High Risk,Decline,1
136718,0.1911001886770838,Medium Risk,Manual Review,0
399005,0.402149099476888,High Risk,Decline,0
313605,0.1152651889921337,Medium Risk,Manual Review,0
355065,0.1575879098413709,Medium Risk,Manual Review,0
244149,0.2858898021114165,Medium Risk,Manual Review,0
363126,0.8030613625606218,High Risk,Decline,1
223868,0.6409956667818373,High Risk,Decline,0
411680,0.5066419306139555,High Risk,Decline,0
302468,0.6638591523695799,High Risk,Decline,0
268837,0.0904692501206868,Low Risk,Approve,0
299043,0.4607163089155275,High Risk,Decline,0
217591,0.6986329571107766,High Risk,Decline,0
416003,0.5369230269709706,High Risk,Decline,0
366343,0.4922372582059531,High Risk,Decline,0
121904,0.5554277077540585,High Risk,Decline,0
417040,0.4438431254986874,High Risk,Decline,0
187449,0.868972946824076,High Risk,Decline,1
113428,0.1701483761491258,Medium Risk,Manual Review,0
164968,0.4132994730907313,High Risk,Decline,0
162070,0.0934474030873469,Low Risk,Approve,0
166914,0.5762439478331931,High Risk,Decline,0
403532,0.0284437169798735,Low Risk,Approve,0
436114,0.5355947139669045,High Risk,Decline,1
342655,0.1665775765562479,Medium Risk,Manual Review,0
205501,0.2937624305459696,Medium Risk,Manual Review,0
407157,0.205652909839449,Medium Risk,Manual Review,0
411393,0.480568788523984,High Risk,Decline,0
394795,0.396417767230623,High Risk,Decline,0
234339,0.7338954187000815,High Risk,Decline,0
265761,0.1195580381376238,Medium Risk,Manual Review,0
115645,0.5399643075715336,High Risk,Decline,1
324503,0.6759768368743716,High Risk,Decline,0
182877,0.0954678183460346,Low Risk,Approve,0
382475,0.7148073815348923,High Risk,Decline,1
397499,0.3463411529829771,High Risk,Decline,0
185530,0.3161111705733516,High Risk,Decline,0
320081,0.2673958467607474,Medium Risk,Manual Review,0
253115,0.1079947757772335,Medium Risk,Manual Review,0
380114,0.1373790987367985,Medium Risk,Manual Review,0
240055,0.6054558861574051,High Risk,Decline,0
107083,0.4706855137844205,High Risk,Decline,0
422717,0.3470868381183395,High Risk,Decline,0
269901,0.4063356526996678,High Risk,Decline,1
300141,0.109509506517128,Medium Risk,Manual Review,0
146921,0.3023108662626826,High Risk,Decline,0
283913,0.6253473397699234,High Risk,Decline,0
245040,0.1255959515423128,Medium Risk,Manual Review,0
166347,0.3342581506567769,High Risk,Decline,0
297074,0.378012568247244,High Risk,Decline,0
418563,0.6359026183894867,High Risk,Decline,0
301742,0.4335367143264362,High Risk,Decline,0
240659,0.0890951527830333,Low Risk,Approve,0
190546,0.4280868048487528,High Risk,Decline,0
169973,0.3897833597393807,High Risk,Decline,0
296668,0.1430448303884851,Medium Risk,Manual Review,0
361658,0.0790085308989331,Low Risk,Approve,0
362897,0.5204460459965062,High Risk,Decline,0
100098,0.5077467279387704,High Risk,Decline,0
443747,0.3942220932959852,High Risk,Decline,1
292566,0.2614425211613363,Medium Risk,Manual Review,0
146894,0.4630442794717926,High Risk,Decline,0
271185,0.5425247821230862,High Risk,Decline,0
273057,0.2548142253675913,Medium Risk,Manual Review,0
449320,0.0920653899119166,Low Risk,Approve,0
399559,0.7462074726192188,High Risk,Decline,1
163293,0.1431220818756202,Medium Risk,Manual Review,0
302076,0.399440011196001,High Risk,Decline,0
337834,0.1429700241677472,Medium Risk,Manual Review,0
116353,0.4161605323354103,High Risk,Decline,0
349540,0.1072898366421868,Medium Risk,Manual Review,0
355845,0.0642491437212536,Low Risk,Approve,0
437919,0.2799845657523614,Medium Risk,Manual Review,0
222007,0.1488194709015568,Medium Risk,Manual Review,1
411359,0.4401915061713488,High Risk,Decline,0
206470,0.394049987970636,High Risk,Decline,0
388901,0.6548084139344178,High Risk,Decline,0
339223,0.2253911273684484,Medium Risk,Manual Review,0
164304,0.6865592718469481,High Risk,Decline,0
449249,0.5595228356973998,High Risk,Decline,0
217410,0.2514456174060172,Medium Risk,Manual Review,0
158728,0.1369615982684562,Medium Risk,Manual Review,0
135512,0.3668306498053856,High Risk,Decline,0
305328,0.287924734544361,Medium Risk,Manual Review,0
175037,0.3758432265132793,High Risk,Decline,0
217814,0.3353942559887199,High Risk,Decline,0
331962,0.2188470340573144,Medium Risk,Manual Review,0
398864,0.5542913911877665,High Risk,Decline,0
299843,0.0660714363336755,Low Risk,Approve,0
235477,0.765707418590422,High Risk,Decline,1
249701,0.0965181375309453,Low Risk,Approve,0
240272,0.146111884672021,Medium Risk,Manual Review,0
404236,0.4252244495802089,High Risk,Decline,0
348713,0.4982932770894578,High Risk,Decline,1
352377,0.0980020152225045,Low Risk,Approve,0
285191,0.4188954304580977,High Risk,Decline,0
362008,0.0843727261525499,Low Risk,Approve,0
304400,0.2760801961410575,Medium Risk,Manual Review,0
259096,0.1276437742956335,Medium Risk,Manual Review,0
208850,0.2779677159464216,Medium Risk,Manual Review,0
215491,0.3035000214506287,High Risk,Decline,0
205785,0.0584867391254411,Low Risk,Approve,0
349358,0.1240922152744286,Medium Risk,Manual Review,0
372130,0.5737448919522435,High Risk,Decline,0
323104,0.4224282809633946,High Risk,Decline,0
310617,0.6960922657917222,High Risk,Decline,1
107783,0.2762026560976904,Medium Risk,Manual Review,0
198637,0.1159066953129061,Medium Risk,Manual Review,0
244738,0.1565565457132007,Medium Risk,Manual Review,0
248057,0.3275728158754877,High Risk,Decline,0
178734,0.6071376570187187,High Risk,Decline,0
351343,0.4117267644571933,High Risk,Decline,0
241009,0.2595205537904979,Medium Risk,Manual Review,0
100593,0.1860557900139736,Medium Risk,Manual Review,0
156462,0.5506723312347152,High Risk,Decline,0
273851,0.3030273820094688,High Risk,Decline,0
371505,0.4073869892371748,High Risk,Decline,0
429884,0.8581900509560735,High Risk,Decline,1
213900,0.6353426998737253,High Risk,Decline,0
179964,0.1699268992427055,Medium Risk,Manual Review,0
453654,0.1034148205465336,Medium Risk,Manual Review,0
192404,0.1600386624997105,Medium Risk,Manual Review,0
276623,0.4453880699637406,High Risk,Decline,0
382930,0.8868106993613021,High Risk,Decline,0
311581,0.3488725315302935,High Risk,Decline,0
413901,0.346974069380067,High Risk,Decline,0
391101,0.165863804214414,Medium Risk,Manual Review,0
432802,0.0520859538401561,Low Risk,Approve,0
260705,0.252294424953739,Medium Risk,Manual Review,0
287269,0.4881452880972007,High Risk,Decline,0
387725,0.1245155315524208,Medium Risk,Manual Review,0
259330,0.1676571128881097,Medium Risk,Manual Review,0
297612,0.1630321973137089,Medium Risk,Manual Review,0
314170,0.5954107510735749,High Risk,Decline,0
153672,0.5381588088470894,High Risk,Decline,0
132627,0.6672102050186383,High Risk,Decline,0
305799,0.3813188471585122,High Risk,Decline,0
351821,0.0829261113938054,Low Risk,Approve,0
387699,0.6274855860317011,High Risk,Decline,0
307622,0.4505888309973251,High Risk,Decline,0
300916,0.799449550490705,High Risk,Decline,0
159738,0.0555625163374024,Low Risk,Approve,0
428013,0.205780776688718,Medium Risk,Manual Review,0
128431,0.2748502423294935,Medium Risk,Manual Review,0
162591,0.4809798773679727,High Risk,Decline,0
195099,0.3478355887865382,High Risk,Decline,0
356200,0.4563269525717944,High Risk,Decline,0
448628,0.7483718990919153,High Risk,Decline,0
328353,0.220205625933201,Medium Risk,Manual Review,0
454615,0.2583547850496476,Medium Risk,Manual Review,0
239539,0.2629185068901573,Medium Risk,Manual Review,0
330966,0.16817565448959,Medium Risk,Manual Review,0
301896,0.2032207982445368,Medium Risk,Manual Review,0
133983,0.5954053519045674,High Risk,Decline,0
292900,0.176332172948592,Medium Risk,Manual Review,0
271798,0.678254911631546,High Risk,Decline,0
370653,0.3330374146270186,High Risk,Decline,0
414808,0.6335579969212558,High Risk,Decline,0
409612,0.7778097672437652,High Risk,Decline,0
172603,0.3209965416917631,High Risk,Decline,0
360848,0.4259271221406438,High Risk,Decline,1
386068,0.2168405548034068,Medium Risk,Manual Review,0
270105,0.1116090200843167,Medium Risk,Manual Review,0
361641,0.5215234043988863,High Risk,Decline,0
189569,0.1165007103224703,Medium Risk,Manual Review,0
399795,0.7369398653384602,High Risk,Decline,0
397287,0.3533400053792123,High Risk,Decline,1
260603,0.2056193010167168,Medium Risk,Manual Review,0
223963,0.2346556951392927,Medium Risk,Manual Review,0
322513,0.2892934612213987,Medium Risk,Manual Review,0
367599,0.0812780155699926,Low Risk,Approve,0
187385,0.3336864049813633,High Risk,Decline,0
302551,0.4445451486168997,High Risk,Decline,0
386024,0.6851456003335483,High Risk,Decline,0
287111,0.0922565095024039,Low Risk,Approve,0
180395,0.5146647340765947,High Risk,Decline,0
418246,0.2707601346300023,Medium Risk,Manual Review,0
103972,0.4992933698921497,High Risk,Decline,0
292616,0.1355297919430785,Medium Risk,Manual Review,0
141633,0.3138217553873819,High Risk,Decline,0
196025,0.6826528827351753,High Risk,Decline,0
150777,0.5229322974760757,High Risk,Decline,0
394118,0.1198997257811592,Medium Risk,Manual Review,0
392274,0.2889964778546476,Medium Risk,Manual Review,0
357435,0.244560967444741,Medium Risk,Manual Review,0
401567,0.6015746087109631,High Risk,Decline,0
432142,0.1340027505066073,Medium Risk,Manual Review,0
325671,0.2352722705626586,Medium Risk,Manual Review,0
310365,0.3541038538817705,High Risk,Decline,0
264633,0.2979127068017961,Medium Risk,Manual Review,0
108307,0.7887459069491944,High Risk,Decline,1
447918,0.4582274983473508,High Risk,Decline,0
264607,0.0274237394581902,Low Risk,Approve,0
292696,0.4745796809541059,High Risk,Decline,0
273491,0.8083225118247196,High Risk,Decline,0
196151,0.0864209626327824,Low Risk,Approve,0
225365,0.4534425376390597,High Risk,Decline,0
368936,0.5525755181010562,High Risk,Decline,0
107900,0.200216773088569,Medium Risk,Manual Review,0
167141,0.1164619579905126,Medium Risk,Manual Review,0
385181,0.1431421608903861,Medium Risk,Manual Review,0
396108,0.089824521506857,Low Risk,Approve,0
426947,0.1238748459494622,Medium Risk,Manual Review,0
228261,0.5386277112578448,High Risk,Decline,0
208325,0.2112374620554461,Medium Risk,Manual Review,0
151820,0.8775802362273377,High Risk,Decline,0
316960,0.5879710295387202,High Risk,Decline,1
201288,0.455902763444039,High Risk,Decline,0
231153,0.1445415127847548,Medium Risk,Manual Review,0
233148,0.6594307627999553,High Risk,Decline,0
250414,0.2232884614882615,Medium Risk,Manual Review,0
409128,0.1094894938716662,Medium Risk,Manual Review,0
151123,0.0638629376302583,Low Risk,Approve,0
168878,0.7559363067852299,High Risk,Decline,0
392248,0.5584451408254442,High Risk,Decline,0
417113,0.1601711230963417,Medium Risk,Manual Review,0
111443,0.4609741657939697,High Risk,Decline,0
228042,0.706903660718118,High Risk,Decline,0
215610,0.5025540621548622,High Risk,Decline,0
186687,0.1107409807969312,Medium Risk,Manual Review,0
226491,0.6177391341555838,High Risk,Decline,1
168917,0.1165637389840008,Medium Risk,Manual Review,0
394547,0.3799204160358989,High Risk,Decline,0
240352,0.2844955983607228,Medium Risk,Manual Review,0
384197,0.3139902113842058,High Risk,Decline,0
123978,0.0492032476574158,Low Risk,Approve,0
215580,0.4168313252265666,High Risk,Decline,0
288410,0.1629826636453428,Medium Risk,Manual Review,0
294211,0.3120299314571102,High Risk,Decline,0
142920,0.596844016113292,High Risk,Decline,1
368301,0.6698774785772662,High Risk,Decline,0
261022,0.4627168484516408,High Risk,Decline,0
246961,0.5371612262601688,High Risk,Decline,0
211092,0.7194080473510631,High Risk,Decline,0
325773,0.6058547290422708,High Risk,Decline,0
238790,0.3248355274886843,High Risk,Decline,0
226796,0.3894904258123591,High Risk,Decline,0
426686,0.8237873620059671,High Risk,Decline,1
281903,0.2785572230248058,Medium Risk,Manual Review,0
272369,0.2418737177357184,Medium Risk,Manual Review,0
302660,0.1401719484969987,Medium Risk,Manual Review,0
197048,0.0179194983235,Low Risk,Approve,0
281617,0.4055231140835775,High Risk,Decline,0
412892,0.8174500364088547,High Risk,Decline,0
299667,0.6718396956554252,High Risk,Decline,1
174302,0.2420663234465734,Medium Risk,Manual Review,0
118649,0.0641791280913204,Low Risk,Approve,0
322545,0.5762088622897652,High Risk,Decline,1
212760,0.4159926611217522,High Risk,Decline,0
383330,0.4859741145855259,High Risk,Decline,0
406270,0.1403550804139995,Medium Risk,Manual Review,0
349489,0.5766063562638994,High Risk,Decline,0
165615,0.312834098445876,High Risk,Decline,0
324927,0.1514082830401478,Medium Risk,Manual Review,0
396347,0.3408490044822269,High Risk,Decline,0
264468,0.3802227299727836,High Risk,Decline,0
278572,0.4188735370276704,High Risk,Decline,0
250983,0.3711836314062023,High Risk,Decline,0
188840,0.1054884871749299,Medium Risk,Manual Review,0
305470,0.0347453141760163,Low Risk,Approve,0
361482,0.1669090036960841,Medium Risk,Manual Review,0
282248,0.6228765997154448,High Risk,Decline,1
427273,0.2004643078808032,Medium Risk,Manual Review,1
135970,0.7428288330493377,High Risk,Decline,0
334179,0.0839530642143867,Low Risk,Approve,0
236046,0.4324145368143909,High Risk,Decline,1
130040,0.2177056609282555,Medium Risk,Manual Review,0
112464,0.1137040548396619,Medium Risk,Manual Review,0
235239,0.1958583770147312,Medium Risk,Manual Review,0
142865,0.3819102907957517,High Risk,Decline,0
202799,0.1525494647089422,Medium Risk,Manual Review,0
281535,0.7406002652011275,High Risk,Decline,0
361835,0.5556115364132188,High Risk,Decline,0
165916,0.0676559719180169,Low Risk,Approve,0
279665,0.0530178607874099,Low Risk,Approve,0
305432,0.1241438785808548,Medium Risk,Manual Review,0
284385,0.5732553269012142,High Risk,Decline,0
443055,0.3565381316881924,High Risk,Decline,0
138846,0.0911935763803065,Low Risk,Approve,0
180595,0.394648519125237,High Risk,Decline,0
285504,0.2658309908088091,Medium Risk,Manual Review,0
117465,0.0539218913825565,Low Risk,Approve,0
264878,0.1780040450546755,Medium Risk,Manual Review,0
149798,0.5049600905371864,High Risk,Decline,0
248107,0.0524844976996007,Low Risk,Approve,0
224903,0.7417025003295155,High Risk,Decline,0
223747,0.0933889141345236,Low Risk,Approve,0
122487,0.1498907428423988,Medium Risk,Manual Review,0
320125,0.3084474613064741,High Risk,Decline,0
362968,0.144774066965502,Medium Risk,Manual Review,0
190093,0.3877688868749575,High Risk,Decline,0
351242,0.2416199747544296,Medium Risk,Manual Review,0
148140,0.7333658545367021,High Risk,Decline,0
188815,0.1945849493281626,Medium Risk,Manual Review,0
298927,0.4947662976949463,High Risk,Decline,1
388887,0.4231349283011161,High Risk,Decline,0
132824,0.45711562476504,High Risk,Decline,1
314903,0.5631170086109999,High Risk,Decline,0
448077,0.1774609683263414,Medium Risk,Manual Review,0
295043,0.2577783912118702,Medium Risk,Manual Review,0
184181,0.4395822714630354,High Risk,Decline,0
105402,0.2117116470494143,Medium Risk,Manual Review,0
193894,0.1828716380536891,Medium Risk,Manual Review,0
442791,0.1545588049099566,Medium Risk,Manual Review,0
161428,0.230360159925435,Medium Risk,Manual Review,0
265615,0.5357451800521816,High Risk,Decline,1
306837,0.2269201869580059,Medium Risk,Manual Review,0
218400,0.1260286257529651,Medium Risk,Manual Review,0
245333,0.1369022480129597,Medium Risk,Manual Review,0
296928,0.8190570183966267,High Risk,Decline,0
136192,0.6608426925147175,High Risk,Decline,0
293660,0.191677704399112,Medium Risk,Manual Review,0
317333,0.6483083964267738,High Risk,Decline,0
418181,0.3344217240440092,High Risk,Decline,0
241869,0.4688138281906813,High Risk,Decline,0
193741,0.6490190952229425,High Risk,Decline,0
268511,0.3232687738563384,High Risk,Decline,0
376481,0.1633085441418869,Medium Risk,Manual Review,0
222080,0.8097297522408642,High Risk,Decline,0
156452,0.4870651779175274,High Risk,Decline,0
331773,0.3000085098260593,High Risk,Decline,0
402432,0.4141540170507117,High Risk,Decline,0
300905,0.2559240943940191,Medium Risk,Manual Review,0
351881,0.1733079289250932,Medium Risk,Manual Review,0
305381,0.3600845515841461,High Risk,Decline,0
327795,0.2952758912111659,Medium Risk,Manual Review,0
